@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetsPerDay numeric
@attribute favoritesPerDay numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute replyRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
2,0.03,2.677387,1.043331,0.0625,0.110944,0.43492,0.167483,0.869972,0.95421,0.724846,0.285714,0.089947,0.984127,0.055,0.69,0.38,0.62,0,0,0,0,0
1,0,5.728709,14.354697,0.062187,0.985173,0.81362,0.434709,0.951661,0.954443,0.420675,0.055118,1.385827,0.464567,0.361809,0.251256,0.994975,0,0.005025,0,0,0,0
1,0.01,1.315332,0.149657,0.0625,0.278121,0.934712,0.400138,0.879182,0.959901,0.385159,0.602041,0.142857,0.459184,0.51,0.14,1,0,0,0,0,0,0
3,1,216.0565,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
2,0,2.530081,3.596341,0.0625,0.000002,0.993374,0.347506,0.704585,0.952008,0.706986,0.062147,0.683616,0.830508,0.115,0.6,0.375,0.595,0,0.03,0,0,0
1,0,1.203426,0.652748,0.0625,0.034567,0.503049,0.473152,0.931565,0.96632,0.487744,0.420168,4.495798,0.226891,0.405,0.05,0.855,0,0,0.145,0,0,0
1,0.01,46.711718,1.025162,0.0625,0.001062,0.491436,0.117765,0.615191,0.950809,0.793677,0.091398,0.010753,0.38172,0.07,0.335,0.995,0,0.005,0,0,0,0
3,0.01,5.629385,0.024403,0.0625,0.610318,0.029086,0.414884,0.922723,0.94643,0.456989,1,4.275,0.085,0,0.02,0,0,1,0,0,0,0
1,0.07,1.539137,18.433431,0.0625,0.119487,0.43492,0.139835,0.88041,0.971732,0.44649,0.693333,0.04,0.96,0.25,0.205,0.6,0.4,0,0,0,0,0
1,0,0.020354,0.163211,0.015,0.14671,0.291014,0.467281,0.841267,0.825094,0.503597,0.021277,0.808511,0.361702,0.020833,0.229167,0.479167,0.5,0,0,0,0.020833,0
1,0,55.881981,81.73235,0.0625,0.022344,0.164949,0.08792,0.592397,0.93427,0.527145,0.542857,0,6.028571,0.475,0.48,1,0,0,0,0,0,0
1,0.01,0.02659,0.043353,0.020625,0.324603,0.944714,0.406328,0.842661,0.877527,0.384615,0.023256,0.627907,0.511628,0.348485,0.075758,1,0,0,0,0,0,0
1,0.01,46.738129,1.025899,0.0625,0.001062,0.491436,0.117765,0.615191,0.950809,0.793677,0.091398,0.010753,0.38172,0.07,0.335,0.995,0,0.005,0,0,0,0
1,0,1.06424,0.231263,0.0625,0.762183,0.959791,0.310174,0.919907,0.961421,0.066849,0.385,0.355,0.01,0,0.01,0.615,0,0.385,0,0,0,0
5,0.89,277.793025,0.001715,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,0.187748,0.224144,0.0625,0.574213,0.959791,0.601812,0.961666,0.966616,0.104762,0.065327,0.512563,1.351759,0.005,0.775,0.985,0.015,0,0,0,0,0
3,0.55,0.89295,0.143168,0.0625,0.034567,0,0.148342,0.857204,0.939012,0.147838,1,0.89,0.615,0,0,0,0,1,0,0,0,1
1,0,2.474403,9.986348,0.0625,0,0.955381,0.089798,0.278457,0.785274,0.327694,0.428571,2,0.714286,0.965,0.005,1,0,0,0,0,0,0
1,0,3.178714,2.525608,0.0625,0.598272,0.057092,0.255753,0.870766,0.961318,0.609645,0.288732,0.042254,1.190141,0.29,0.51,0.535,0.465,0,0,0,0,0
1,0.04,4.810853,0.057716,0.0625,0.538367,0.514748,0.313002,0.946418,0.956394,0.723985,0.538012,0.134503,1.216374,0.145,0.56,0.255,0.745,0,0,0,0,0
5,1,281.062571,0.001706,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.03,24.51481,44.345557,0.0625,0.017072,0.351369,0.282809,0.882926,0.959089,0.33913,0.123596,0.067416,0.932584,0.555,0.325,0.995,0,0.005,0,0,0,0
1,0,2.309112,6.687428,0.062187,0.980378,0.058097,0.364342,0.906689,0.959786,0.293722,0.615385,1.128205,0,0.020101,0,0.467337,0,0.532663,0,0,0,0
1,0,8.582456,16.481287,0.062187,0.083273,0.80344,0.060648,0.700332,0.965719,0.988527,0.254777,0,0.318471,0.211055,0.271357,0.984925,0.005025,0.01005,0,0,0,0
3,1,216.474232,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,13.133018,2.665091,0.0625,0,0.773066,0.069983,0.421888,0.935699,0.122317,0.305,0,0,0,0.605,0.695,0.08,0.225,0,0,0,0
3,1,212.695485,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0.01,39.894158,11.746206,0.0625,0.008525,0.878648,0.034973,0.585054,0.968691,0.701519,0.248619,0,0.701657,0.095,0.75,0.16,0.84,0,0,0,0,0
1,0.01,7.85762,0.010361,0.0625,0.457187,0.371353,0.297506,0.895605,0.952892,0.511103,0.447514,0.98895,1.104972,0.095,0.41,0.555,0.43,0.015,0,0,0,0
3,1,213.793729,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
3,1,214.663736,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
2,0,8.709522,3.259763,0.0625,0.115149,0.861687,0.14556,0.868566,0.965456,0.236767,0.373333,0.053333,1.526667,0.25,0.6,0,1,0,0,0,0,0
1,0.05,0.594437,0.065052,0.0625,0.538367,0.391962,0.618793,0.946093,0.959717,0.688285,0.416,0.496,1.312,0.375,0.185,0.73,0.25,0.015,0,0,0.005,0
1,0.01,0.564584,0.176433,0.0625,0.000001,0.824592,0.231168,0.640056,0.946347,0.29985,0.75,0,3.59375,0.84,0.115,0.955,0,0,0,0.045,0,0
1,0.04,62.103113,54.951362,0.0625,0.143265,0.095395,0.005087,0.519965,0.955255,0.997018,0.47619,0.150794,0.436508,0.37,0.285,1,0,0,0,0,0,0
2,0.02,28.177134,109.258454,0.0625,0.00672,0.000081,0.14519,0.814017,0.954753,0.399893,0.694444,0.018519,1.435185,0.46,0.27,0.51,0.49,0,0,0,0,0
3,0.13,0.550357,0.065,0.0625,0.751137,0.861687,0.567125,0.948208,0.942689,0.819277,0.994975,4.386935,0.055276,0.005,0.005,0.015,0.005,0.98,0,0,0,0
5,0.96,277.296339,0.001716,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.03,51.363095,23.044643,0.0625,0.010289,0.159296,0.087666,0.630426,0.956803,0.582879,0.078534,0.010471,0.602094,0.045,0.585,0.865,0,0,0.12,0,0.015,0
