@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1.000625,0.571684,0.799106,0.051016,0.81521,0.997362,0.42035,0.092755,0.000312,1.820425,0,1,0,0,0,0,0,0
1,0.04,0.71625,0.113298,0.885195,0.403572,0.914191,0.997258,0.446062,0.009791,0.030708,0.812639,0.019634,0.850785,0.149215,0,0,0,0,0
5,0.78,1.01375,0,0,0.001353,0.509547,0.645598,0.97671,0.904881,2.302879,0.072278,0.014797,0,0,0,0,1,0,1
1,0,1.005,0.002442,0.495066,0.056452,0.646652,0.996406,0.400217,0.175017,0.00755,0.475635,0.546953,0.964241,0.035759,0,0,0,0,0
1,0.01,1.009375,0.410175,0.203975,0.252499,0.928803,0.997572,0.693203,0.03231,0.026817,0.398384,0.041796,0.99226,0.003715,0.004025,0,0,0,0
3,0.04,1.000625,0.255978,0.686183,0.386565,0.951825,0.997667,0.916542,0.727875,0.10242,0.422605,0.057776,0.321674,0.13148,0.538413,0.004997,0,0.003435,0
2,0.03,1.002188,0.012504,0.476088,0.146986,0.884379,0.99765,0.192358,0.284676,0.20158,1.1703,0.013096,0.15435,0.825382,0.019956,0,0,0.000312,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0.02,0.719661,0.265033,0.477467,0.374212,0.862417,0.974956,0.501611,0.353523,0.569638,0.678683,0.262357,0.596402,0.232113,0.112861,0.035844,0.010788,0.011993,0
1,0,1.002813,0.311096,0.837719,0.07559,0.48731,0.980412,0.248024,0.083923,0.002359,0.988541,0.075413,1,0,0,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
