@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0.04,1,0,0,0.105263,0.052632,0.052632,0.833309,1.200674,0.210497,0
0,1,0,0,0.5,0,0,0.394161,1.165021,0.014104,0
0,1,0,0,0,0,0,0.565055,0.200487,0.119221,0
0.04,2,0,0,0,0.142857,0,0.978222,11.536478,0.244656,0
0.01,1,0,0,0,0.4,0,0.921485,21.614154,3.571479,0
1,3,0,0,0,0,0,1,214.436264,0,1
1,3,0,0,0,0,0,1,217.899781,0,1
0.84,3,0,0,0,0.125,0,0.593281,1.309899,2.387898,1
0.6,5,0,0,0.294118,0.058824,0,0.546373,0.012221,0,0
0.03,1,0,0,0,0.0625,0,0.511308,14.64513,1.746104,0
0.99,5,1,0,0,0.125,0.125,0.999945,279.838177,0.001709,1
0.03,1,1,0,0,0,0,0.523256,12.388889,5.537037,0
0.26,3,0,0,0.571429,0.071429,0,0.372659,13.677941,0.004412,0
0,2,0,0,0,0,0,0.511027,2.440345,2.496885,0
0,2,1,0,0,0,0.6,0.393443,0.198256,0.005166,0
0.01,3,0,0,0.166667,0.083333,0,0.257426,0.246075,0.026295,0
0,1,1,0,0,0,0.333333,0.870229,21.428722,10.724343,0
0,1,1,0,0,0,0.333333,0.437879,2.826318,0.407354,0
0.02,1,0,0,0,0.25,0,0.322392,2.211828,0.903363,0
1,3,0,0,0,0,0,1,213.431793,0,1
0.1,1,1,0,0,0,0.105263,0.684211,5.122465,10.75897,0
0.12,2,0,0,0,0.083333,0,0.533234,23.218909,0.577091,0
0,1,1,0,0.12,0,0.08,0.779129,2.917894,0.431484,0
0.05,1,0,0,0,0,0,0.474684,1.355034,0.174315,0
0.1,1,0,0,0,0,0,0.438411,5.754261,6.761364,0
0,1,1,0,0,0,0.055556,0.923993,15.506714,0.036749,0
0,1,1,0,0,0,0.333333,0.221704,3.240879,0.718321,0
